Variable,Media (Original),Media (Expandido),Desv. Est. (Original),Desv. Est. (Expandido),Mínimo (Original),Mínimo (Expandido),Máximo (Original),Máximo (Expandido)
calories_burned,905.4224049331963,904.4841619536375,272.64151645225877,262.40544670396235,303.0,186.08955704653738,1783.0,1609.9461769680554
bmi,24.91212744090442,24.84503525941974,6.660879393631086,6.385818720457525,12.32,7.440355883795892,49.84,41.23315948141213
session_duration (hours),1.2564234326824255,1.2566355946898187,0.3430334803899634,0.3244088019273863,0.5,0.41027544079538936,2.0,2.089745640750348
max_bpm,179.88386433710176,179.85874687929206,11.525685962379304,11.485057947396083,160.0,140.07977352673305,199.0,219.75014272912202
resting_bpm,62.223021582733814,62.22982703339768,7.327059908996752,7.289075947535069,50.0,38.084970822100686,74.0,85.9883662495871
